0,0.2198,0.7747,0.3791,0.6552,0.2678
1,0.1478,0.8423,0.1899,0.7977,0.1163
2,0.1610,0.8321,0.2472,0.7279,0.0971
3,0.1358,0.8571,0.2508,0.6885,0.1610
4,0.1381,0.8543,0.3839,0.7796,0.0707
5,0.1223,0.8687,0.1488,0.8118,0.0647
6,0.1210,0.8691,0.4998,0.6291,0.2608
7,0.1178,0.8732,0.2164,0.7030,0.1531
8,0.1205,0.8710,0.4150,0.7066,0.3156
9,0.1188,0.8720,0.2369,0.7820,0.1958
10,0.1133,0.8768,0.2976,0.6921,0.0898
11,0.1145,0.8774,0.3542,0.7156,0.0964
12,0.1126,0.8787,0.1745,0.8018,0.1391
13,0.1106,0.8790,0.1813,0.7796,0.0813
14,0.1066,0.8841,0.1860,0.8041,0.1206
15,0.1122,0.8790,0.1783,0.8157,0.0676
16,0.1071,0.8840,0.1819,0.7911,0.0786
17,0.1064,0.8844,0.1222,0.8561,0.0479
18,0.1068,0.8838,0.1608,0.8149,0.0812
19,0.1095,0.8810,0.2535,0.7692,0.2591
20,0.1066,0.8841,0.4411,0.4700,0.2491
21,0.1063,0.8842,0.4201,0.4788,0.2491
22,0.1037,0.8869,0.1190,0.8521,0.0462
23,0.1061,0.8845,0.1682,0.7959,0.0905
24,0.1045,0.8861,0.1548,0.8289,0.1046
25,0.1043,0.8865,0.2208,0.6899,0.2057
26,0.1015,0.8889,0.1481,0.8262,0.0623
27,0.1050,0.8854,0.2401,0.7650,0.1485
28,0.1134,0.8798,2.9966,0.5827,0.3673
29,0.0981,0.8935,0.1055,0.8730,0.0488
30,0.0970,0.8940,0.2536,0.7645,0.0587
31,0.0986,0.8932,0.1872,0.8072,0.1390
32,0.0954,0.8944,0.1093,0.8660,0.0516
33,0.0931,0.8979,0.1143,0.8724,0.0790
34,0.0923,0.8983,0.1140,0.8668,0.0654
35,0.0946,0.8953,0.1169,0.8598,0.0501
36,0.0938,0.8959,0.1053,0.8762,0.0485
37,0.0913,0.8991,0.1860,0.8132,0.1490
38,0.0922,0.8983,0.1182,0.8653,0.0439
39,0.0930,0.8977,0.1242,0.8549,0.0768
