0,1.0492,0.4556,1.0835,0.4397,0.0751
1,0.8553,0.5298,0.9531,0.4735,0.0893
2,0.8016,0.5517,0.9111,0.4989,0.1937
3,0.7611,0.5692,0.8493,0.5144,0.1026
4,0.7218,0.5858,0.8486,0.5237,0.1352
5,0.6876,0.6007,0.8273,0.5365,0.1223
6,0.6524,0.6165,0.8068,0.5466,0.1325
7,0.6193,0.6315,0.7407,0.5668,0.0906
8,0.5867,0.6468,0.7685,0.5654,0.0988
9,0.5587,0.6599,0.7431,0.5832,0.2001
10,0.5499,0.6654,0.7290,0.5909,0.1320
11,0.5125,0.6834,0.6515,0.6208,0.1220
12,0.4757,0.7018,0.6642,0.6224,0.1081
13,0.4453,0.7175,0.6271,0.6375,0.1139
14,0.4181,0.7320,0.6546,0.6415,0.1492
15,0.3927,0.7460,0.5508,0.6730,0.0893
16,0.3683,0.7599,0.5787,0.6726,0.1169
17,0.3471,0.7719,0.5565,0.6800,0.0741
18,0.3276,0.7837,0.5056,0.7048,0.0792
19,0.3081,0.7953,0.5189,0.7057,0.1014
20,0.2883,0.8070,0.4545,0.7281,0.0539
21,0.2695,0.8185,0.5083,0.7208,0.1170
22,0.2538,0.8283,0.4538,0.7394,0.0784
23,0.2381,0.8383,0.4481,0.7455,0.0736
24,0.2246,0.8473,0.4377,0.7555,0.0710
25,0.2110,0.8563,0.4371,0.7590,0.0780
26,0.1991,0.8641,0.4296,0.7642,0.0908
27,0.1863,0.8724,0.4177,0.7741,0.0574
28,0.1763,0.8792,0.3779,0.7901,0.0663
29,0.1653,0.8868,0.4221,0.7816,0.0758
30,0.1577,0.8919,0.4660,0.7683,0.0894
31,0.1487,0.8982,0.3904,0.7952,0.0668
32,0.1409,0.9035,0.3908,0.7974,0.0642
33,0.1319,0.9094,0.3937,0.8017,0.0791
34,0.1243,0.9148,0.4171,0.7977,0.0622
35,0.1180,0.9192,0.4107,0.8024,0.0682
36,0.1135,0.9228,0.4441,0.7912,0.1048
37,0.1067,0.9271,0.4083,0.8065,0.0814
38,0.1023,0.9302,0.3649,0.8212,0.0559
39,0.0976,0.9338,0.3582,0.8262,0.0592
40,0.0935,0.9366,0.3822,0.8179,0.0782
41,0.0885,0.9400,0.4096,0.8111,0.0891
42,0.0839,0.9433,0.3688,0.8290,0.0713
43,0.0802,0.9456,0.3754,0.8266,0.0629
44,0.0768,0.9483,0.3851,0.8241,0.0675
45,0.0745,0.9500,0.3475,0.8389,0.0574
46,0.0708,0.9526,0.4219,0.8175,0.0730
47,0.0689,0.9539,0.3206,0.8494,0.0482
48,0.0650,0.9566,0.4632,0.8090,0.0716
49,0.0635,0.9578,0.3807,0.8332,0.0821
