0,0.7153,0.0241,0.6816,0.0211,0.4225
0,0.7094,0.0243,0.7038,0.0198,0.5545
1,0.6419,0.0373,0.7969,0.0201,0.7287
2,0.6098,0.0464,0.6044,0.0194,0.2490
3,0.5802,0.0601,0.5861,0.0195,0.2394
4,0.5565,0.0728,0.5661,0.0197,0.5932
5,0.5352,0.0873,0.5639,0.0209,0.2496
6,0.5149,0.1046,0.5432,0.0204,0.2478
7,0.4957,0.1246,0.5373,0.0207,0.2451
8,0.4803,0.1409,0.5338,0.0200,0.2461
9,0.4632,0.1638,0.5303,0.0169,0.2679
0,0.4399,0.5334,1.3179,0.0242,0.5956
1,0.3460,0.6045,1.2793,0.0241,0.4459
2,0.3048,0.6400,1.1668,0.0257,0.4097
3,0.2703,0.6730,1.4086,0.0272,0.5712
4,0.2401,0.7041,1.5136,0.0277,0.5960
5,0.2124,0.7353,1.2395,0.0286,0.3389
6,0.1926,0.7592,1.1334,0.0258,0.1181
7,0.1738,0.7831,1.5080,0.0273,0.5781
8,0.1590,0.8027,1.2479,0.0305,0.2547
9,0.1421,0.8236,1.2908,0.0279,0.3307
0,0.4018,0.5596,0.9555,0.4628,0.6038
1,0.3171,0.6311,0.5466,0.5106,0.2990
2,0.2745,0.6727,0.7444,0.4579,0.4462
3,0.2454,0.7030,0.6407,0.5143,0.4199
4,0.2217,0.7293,0.7562,0.4864,0.4384
5,0.1984,0.7566,0.8044,0.5240,0.5205
6,0.1817,0.7783,0.7242,0.5091,0.4273
7,0.1647,0.7986,0.6104,0.5387,0.2356
8,0.1521,0.8147,0.7289,0.5236,0.4555
9,0.1423,0.8276,0.7732,0.5032,0.5196
0,0.3787,0.5673,0.5596,0.4604,0.1639
1,0.2893,0.6539,0.5297,0.4723,0.0760
2,0.2467,0.6987,0.7614,0.4860,0.5263
3,0.2210,0.7293,0.5289,0.5380,0.2215
4,0.1941,0.7610,0.6351,0.5329,0.3676
5,0.1780,0.7816,0.7476,0.5180,0.3888
6,0.1620,0.8024,0.5762,0.5508,0.3429
7,0.1459,0.8227,0.7195,0.5166,0.5085
8,0.1380,0.8343,0.4496,0.5974,0.1649
9,0.1285,0.8469,0.5343,0.5692,0.3830
10,0.1212,0.8566,0.3261,0.6822,0.1457
11,0.1169,0.8625,0.7263,0.5383,0.4257
12,0.1112,0.8704,0.6583,0.5658,0.4643
13,0.1072,0.8755,0.4165,0.6377,0.1733
14,0.1063,0.8771,0.5598,0.5944,0.4173
15,0.1027,0.8822,0.5924,0.5600,0.2567
16,0.1023,0.8830,0.5178,0.5977,0.3150
17,0.0980,0.8888,0.5230,0.5952,0.3708
18,0.0953,0.8916,0.7888,0.5486,0.5602
19,0.0946,0.8928,0.5501,0.5906,0.4242
20,0.0944,0.8922,0.5827,0.5915,0.3694
21,0.0898,0.8986,0.5574,0.6080,0.4374
22,0.0832,0.9054,0.6010,0.5873,0.4105
23,0.0828,0.9062,0.5211,0.6258,0.3774
24,0.0816,0.9078,0.5851,0.6016,0.4252
25,0.0810,0.9084,0.4701,0.6439,0.3018
26,0.0796,0.9102,0.6858,0.5825,0.4693
27,0.0793,0.9104,0.5925,0.5937,0.3663
28,0.0801,0.9097,0.5389,0.6225,0.3996
29,0.0764,0.9136,0.6075,0.6043,0.4585
30,0.0774,0.9134,0.5650,0.6060,0.3733
31,0.0762,0.9142,0.7004,0.5752,0.4229
32,0.0748,0.9158,0.4676,0.6485,0.2691
33,0.0709,0.9201,0.6502,0.5851,0.3616
34,0.0700,0.9214,0.6027,0.6068,0.3679
35,0.0681,0.9234,0.4950,0.6471,0.3080
36,0.0685,0.9233,0.6393,0.5936,0.3689
37,0.0673,0.9246,0.5544,0.6258,0.3524
38,0.0659,0.9264,0.4885,0.6498,0.3006
39,0.0651,0.9274,0.5776,0.6184,0.3317
40,0.0650,0.9276,0.5671,0.6226,0.3598
41,0.0641,0.9291,0.4863,0.6591,0.3120
42,0.0644,0.9292,0.4712,0.6607,0.3419
43,0.0629,0.9300,0.6230,0.6090,0.3461
44,0.0595,0.9341,0.6177,0.6159,0.3607
45,0.0578,0.9361,0.5730,0.6277,0.3451
46,0.0577,0.9366,0.5245,0.6465,0.3121
47,0.0568,0.9377,0.5716,0.6305,0.3033
48,0.0558,0.9388,0.6518,0.6012,0.3482
49,0.0543,0.9405,0.5084,0.6533,0.2947
50,0.0525,0.9428,0.5186,0.6526,0.2772
51,0.0535,0.9419,0.5648,0.6365,0.3203
52,0.0518,0.9441,0.5152,0.6553,0.3070
53,0.0515,0.9445,0.5020,0.6617,0.2748
54,0.0509,0.9451,0.5403,0.6539,0.2956
55,0.0484,0.9478,0.5907,0.6316,0.3149
56,0.0472,0.9493,0.5768,0.6401,0.3359
57,0.0467,0.9502,0.5002,0.6664,0.2665
58,0.0467,0.9501,0.5279,0.6577,0.2952
59,0.0462,0.9507,0.4986,0.6666,0.2742
60,0.0455,0.9515,0.5165,0.6655,0.2995
61,0.0450,0.9522,0.5127,0.6626,0.2738
62,0.0443,0.9529,0.5406,0.6529,0.3066
63,0.0435,0.9538,0.5448,0.6544,0.2991
64,0.0432,0.9544,0.5734,0.6447,0.3319
65,0.0433,0.9544,0.4436,0.6925,0.2406
66,0.0433,0.9542,0.5152,0.6658,0.2653
67,0.0423,0.9555,0.5135,0.6686,0.3010
68,0.0430,0.9552,0.5527,0.6536,0.3334
69,0.0413,0.9564,0.5505,0.6531,0.2707
70,0.0409,0.9572,0.5060,0.6682,0.2706
71,0.0405,0.9578,0.5040,0.6734,0.2665
72,0.0400,0.9583,0.5965,0.6415,0.3309
73,0.0395,0.9589,0.5640,0.6538,0.3161
74,0.0402,0.9581,0.5063,0.6767,0.2680
75,0.0390,0.9594,0.5112,0.6734,0.2694
76,0.0386,0.9599,0.5247,0.6660,0.2728
77,0.0373,0.9612,0.5543,0.6584,0.2799
78,0.0374,0.9613,0.5402,0.6633,0.2676
79,0.0370,0.9617,0.5985,0.6433,0.2880
80,0.0372,0.9616,0.4909,0.6838,0.2428
81,0.0363,0.9625,0.5675,0.6576,0.2934
82,0.0362,0.9628,0.4891,0.6834,0.2544
83,0.0357,0.9634,0.5461,0.6618,0.2943
84,0.0354,0.9637,0.5923,0.6503,0.3050
85,0.0353,0.9639,0.4895,0.6846,0.2562
86,0.0357,0.9635,0.5387,0.6677,0.2756
87,0.0358,0.9635,0.5197,0.6726,0.2752
88,0.0348,0.9643,0.5506,0.6642,0.2831
89,0.0343,0.9650,0.5430,0.6644,0.2766
90,0.0346,0.9646,0.5169,0.6744,0.2683
91,0.0347,0.9646,0.5563,0.6629,0.2908
92,0.0343,0.9651,0.5795,0.6530,0.2869
93,0.0345,0.9648,0.5940,0.6465,0.3098
94,0.0340,0.9653,0.5924,0.6516,0.3244
95,0.0342,0.9653,0.5307,0.6715,0.2735
96,0.0335,0.9660,0.5263,0.6728,0.2677
97,0.0343,0.9651,0.5816,0.6526,0.2954
98,0.0342,0.9651,0.5213,0.6760,0.2627
99,0.0335,0.9660,0.5636,0.6623,0.2970
