Metric,Baseline Mean,Baseline Std,Enhanced Mean,Enhanced Std,Improvement,Improvement %
Dice Overall,0.8820,0.0500,0.8046,0.0783,-0.0774,-8.77%
Dice Disc,0.8942,0.0569,0.8130,0.0991,-0.0812,-9.08%
Dice Cup,0.8698,0.0561,0.7963,0.0765,-0.0735,-8.45%
IoU Background,0.8987,0.0362,0.7806,0.0868,-0.1182,-13.15%
IoU Disc,0.8132,0.0898,0.6959,0.1323,-0.1174,-14.43%
IoU Cup,0.7738,0.0838,0.6680,0.1013,-0.1058,-13.67%
